Cluster,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,MEDV
0,0.078386,43.57142857142857,3.165714285714286,0.0,0.4377142857142857,6.9474285714285715,33.857142857142854,5.628471428571428,4.428571428571429,381.7142857142857,15.242857142857142,389.4614285714286,4.968571428571429,33.32857142857143
1,12.064791,0.0,18.1,0.0,0.6962857142857143,6.059904761904762,97.74761904761904,1.7353952380952382,24.0,666.0,20.2,393.2647619047619,19.833684210526318,12.004761904761905
2,0.227963,2.8,11.219,0.0,0.5424,6.3829,84.01,3.16566,3.5,291.6,18.7,395.49699999999996,8.731,21.93
3,0.30087,0.0,10.372,1.0,0.5048,5.7646,93.16,3.4708799999999997,5.0,282.8,17.919999999999998,395.506,20.744,20.84
4,0.170393,23.45,5.274,0.0,0.433,6.6691,21.8,7.95746,6.3,322.8,19.259999999999998,391.258,6.304444444444445,26.9
5,28.354,0.0,18.1,0.0,0.68575,5.603125,96.55,1.7676625,24.0,666.0,20.2,46.75875,29.064999999999998,9.5875
6,0.11887909090909089,1.25,8.741,0.0,0.45518181818181813,6.060363636363636,43.46363636363637,5.477309090909091,4.090909090909091,274.90909090909093,16.681818181818183,394.8290909090909,11.393636363636363,22.227272727272727
7,0.03443,77.85714285714286,2.7038461538461536,0.0,0.4105714285714286,6.3268571428571425,29.023076923076925,8.620264285714287,3.142857142857143,312.07142857142856,18.32857142857143,387.6171428571428,7.132142857142857,23.735714285714288
8,2.862144,0.0,19.58,0.0,0.8710000000000001,5.215999999999999,96.44,1.45476,5.0,403.0,14.7,378.87,27.002,15.040000000000001
9,0.6079757142857142,0.0,21.890000000000004,0.0,0.624,6.043285714285714,97.23076923076923,1.9256857142857144,4.0,437.0,21.2,383.3778571428571,17.929285714285715,17.0
10,7.096419999999999,0.0,18.1,0.0,0.5718888888888889,6.3774444444444445,81.55555555555556,2.9424777777777775,24.0,666.0,20.2,390.5444444444445,13.685555555555556,20.855555555555554
